DTD,WTD,MTD,YTD,Since Launch,Ticker,Type,Industry,Weight
-0.038610605462097713,0.0,0.0429809120749014,0.8364929823013179,0.5445939447619663,TEM,Holding,Application,0.014995853484141626
0.007354274448172271,0.0,0.05142962446083521,0.33244158806687496,0.038148128695013606,ARM,Holding,Semi,0.009779616036109719
0.0,0.0,0.0,0.051880902825739206,0.9666666666666666,ANTH.PVT,Holding,Infrastructure,0.029677600317609697
-0.0038266883463682344,0.0,0.012501722151138095,0.4161647107233679,0.6841497561343648,SNOW,Holding,Infrastructure,0.01916361123022579
-0.011128421914174846,0.0,0.06152193981846765,-0.10314898094299241,-0.20147374564059084,ESTC,Holding,Infrastructure,0.01698593265302979
0.006950817493233341,0.0,0.0487273797572072,0.17445736377587884,0.1990047017292429,LRNZ,Comparison ETF,,0.0
0.0193682876059158,0.0,0.12576549568854878,0.19289000426637637,1.0098240391568907,SHOP,Holding,Application,0.016825860743649917
0.03695353012253877,0.0,0.16329363462323054,0.2556965588081057,0.7289657601315931,VRT,Holding,Semi,0.015102907629340736
-0.01279708872351093,0.0,0.08216429556609883,-0.03433473232857809,0.10159117698350806,CFLT,Holding,Infrastructure,0.011309131328529768
0.013635304048459584,0.0,0.056445792963056185,0.20332826471267795,0.14542381562714235,SMH,Comparison ETF,,0.0
0.02861396838808261,0.0,0.18845413708936176,0.06351220799774238,0.41358267535932436,ANET,Holding,Semi,0.013249869691577728
0.026347933994362416,0.0,-0.07651144917856545,0.058750823256128015,-0.2026564734639381,ASML,Holding,Semi,0.012341462226954788
0.009990713197699952,0.0,0.07545777313026036,0.17264638733656335,0.29491533744115994,ARTY,Comparison ETF,,0.0
0.010847447282176903,0.0,0.06652362915793142,0.018389118939153182,0.12535007331853243,RBTZ.AX,Comparison ETF,,0.0
-0.0002510958258695739,0.0,0.031231243041953016,0.09327170590562894,0.16685339675447453,SPY,Comparison ETF,,0.0
0.016729856422881273,0.0,0.01035137527260499,0.06035049944981097,-0.14034621462550578,QCOM,Holding,Semi,0.008979678842533265
0.0,,,,,XB0T.DE,Comparison ETF,,0.0
0.01750639700793588,0.0,-0.02583286154624176,-0.07015243129054127,0.3343124029660258,NOW,Holding,Application,0.0249467959034709
0.005552653790466877,0.0,0.05381439396331644,0.20520036869043312,0.38769216657237227,LOUP,Comparison ETF,,0.0
0.004989444120048203,0.0,0.07818333037287784,0.8518759574383512,1.539607898464142,NET,Holding,Infrastructure,0.022434886781980717
0.006051043940012102,0.0,0.03502377824078784,0.12387333729645889,0.26281336863628235,PANW,Holding,Infrastructure,0.01224181168706302
0.0062066735003993845,0.0,0.13934861472267301,0.05514735052468178,0.26889416478452044,DDOG,Holding,Infrastructure,0.019562784808994437
-0.005793439239704878,0.0,0.20814213140120708,1.087531543255178,4.512570120370749,PLTR,Holding,Infrastructure,0.027552144486574878
0.007477747277845781,0.0,0.04881127192106627,0.14663600284643552,0.2643298341088569,AIAI.L,Comparison ETF,,0.0
-0.005714303754233208,0.0,-0.028260604622977192,-0.17067962737909947,0.14616689007520223,TEAM,Holding,Application,0.01265949427910002
0.01056630078440346,0.0,0.13370640929160404,0.49868243826468106,0.8133882393942982,ORCL,Holding,Infrastructure,0.028494141462525085
-0.0020391350360534632,0.0,0.06596138681220909,0.07493108770092083,0.11470461215775485,BOTZ,Comparison ETF,,0.0
-0.020979020979020935,0.0,0.11965415370232813,0.029984855752456685,0.1386161516942337,2454.TW,Holding,Semi,0.006826720356883589
-0.003425551726613074,0.0,-0.05771488021053006,-0.16913284315427746,-0.3364999238225097,ADBE,Holding,Application,0.01772885214801447
-0.015305750487938585,0.0,-0.004974302815945908,-0.07747163348344743,0.03235315897232072,WDAY,Holding,Application,0.013008283590877764
0.018728995804608406,0.0,0.10178499143180186,0.14553934730283236,3.583714198149506,APP,Holding,Application,0.014267294002135618
0.01718384560407271,0.0,0.01276813079541017,-0.09224076232479461,0.12192366504474572,IOT,Holding,Application,0.014967506122880966
0.00293250648498522,0.0,0.0689726493608136,0.2679189421125805,0.4112792679642867,CHAT,Comparison ETF,,0.0
0.002056504195872666,0.0,0.028495988730237398,0.16914608197613945,0.34996757316053806,XAIX,Comparison ETF,,0.0
0.008795152908652515,0.0,0.06310644379277863,0.2309982006809297,0.17044688463220736,AIS,Comparison ETF,,0.0
0.010451181549739452,0.0,-0.0002522606770630764,0.830946886286339,2.3116122393778253,XAAI.PVT,Holding,Infrastructure,0.0372669665540888
0.005341255427076641,0.0,0.04999996059197165,0.12400272518071187,0.09495251125144466,IGPT,Comparison ETF,,0.0
0.005833005662313484,0.0,0.05592845049791095,0.06107841712823592,0.26688431720344385,AMZN,Holding,Infrastructure,0.05019577318732165
0.006945630939415359,0.0,-0.0022106808557583735,0.22768374560148685,0.5132650160115102,META,Holding,Application,0.07013798034616078
0.018010430863026228,0.0,0.20178834824331005,1.09056339109046,2.0399596959363264,RBLX,Holding,Application,0.022874805034252856
-0.0015143928832097586,0.0,0.008164571116745512,0.0624367986928398,0.12051846537714117,DIA,Comparison ETF,,0.0
0.004246728198055161,0.0,0.040046284992672154,0.16409656656581162,0.26848739663228827,AIQ,Comparison ETF,,0.0
0.03142909130917371,0.0,0.07569721500854687,-0.03304572308663711,-0.00585771504805177,PSTG,Holding,Infrastructure,0.012185042431602363
0.018731988472622474,0.0,0.1529680135774354,0.3163938623605289,0.4601193269212891,NVDA,Holding,Semi,0.046769916319384576
0.014198067479417098,0.0,0.11165671469740635,0.2762478958586423,0.8543103686143938,AVGO,Holding,Semi,0.0278277176076119
