Industry,Ticker,Weight,DTD,WTD,MTD,YTD,Since Launch,DTD_contribution,WTD_contribution,MTD_contribution,YTD_contribution,SinceLaunch_contribution,sector_DTD_contribution,sector_WTD_contribution,sector_MTD_contribution,sector_YTD_contribution,sector_SinceLaunch_contribution
Semi,ARM,0.0093621294829689,-0.0334733092282409,-0.0334733092282409,0.0010874315035769,0.2686446111031191,-0.0115581494971962,-0.00031338145521824906,-0.00031338145521824906,1.0180674540346496e-05,0.0025150856340492257,-0.0001082088921762627,-0.0035522199003941617,-0.0035522199003941617,0.007718678390132119,0.01966777489453176,0.05424168879138088
Infrastructure,AMZN,0.0500161752671352,-0.0079808190436073,-0.0079808190436073,0.0317971255255113,0.0368293990315582,0.2379319794323979,-0.00039917004406035304,-0.00039917004406035304,0.0015903706032750714,0.0018420656769456741,0.01190044758494722,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Application,DUOL,0.0157663008324312,0.0010678793769698,0.0010678793769698,-0.1161861431447506,0.0986953672260442,0.994903938932717,1.683650751005507e-05,1.683650751005507e-05,-0.0018318256853800522,0.0015560608504530838,0.015685954800583976,-0.0011542352311572895,-0.0011542352311572895,0.0001398687289279315,0.04635206028002071,0.18354680267717027
Semi,AVGO,0.0266781520657902,-0.0333784233801863,-0.0333784233801863,0.0523155043227665,0.2081207438260537,0.7553256548722789,-0.0008904746546529372,-0.0008904746546529372,0.0013956809797212692,0.005552276851836828,0.020150692679875223,-0.0035522199003941617,-0.0035522199003941617,0.007718678390132119,0.01966777489453176,0.05424168879138088
Semi,VRT,0.0136852077582646,-0.007289423782735,-0.007289423782735,0.0224416515378982,0.1036563986994041,0.5196218659208045,-9.97572789047635e-05,-9.97572789047635e-05,0.00030711866373471513,0.0014185593516748535,0.007111133190863321,-0.0035522199003941617,-0.0035522199003941617,0.007718678390132119,0.01966777489453176,0.05424168879138088
Semi,ASML,0.0124727007129283,-0.0197310087143528,-0.0197310087143528,-0.1075183035211017,0.0229418384552182,-0.2296242305129371,-0.00024609896645830264,-0.00024609896645830264,-0.0013410436209804865,0.0002861466848562859,-0.002864034303624323,-0.0035522199003941617,-0.0035522199003941617,0.007718678390132119,0.01966777489453176,0.05424168879138088
Semi,MRVL,0.0146653678183342,-0.014645493164246,-0.014645493164246,-0.0549720994684296,-0.3466056482117902,0.0588938517569053,-0.0002147815441345668,-0.0002147815441345668,-0.000806186058450574,-0.005083099318938053,0.000863699998253464,-0.0035522199003941617,-0.0035522199003941617,0.007718678390132119,0.01966777489453176,0.05424168879138088
Infrastructure,CFLT,0.0109637509622518,0.0206003376871426,0.0206003376871426,0.042484947235629,-0.0697424506238174,0.0611995098324171,0.0002258569721401217,0.0002258569721401217,0.0004657943811358444,-0.0007646388601366767,0.0006709761848145015,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Infrastructure,XAAI.PVT,0.0445115101966498,0.0,0.0,-0.0022698650472724,0.8272518277289729,2.3049290301403302,0.0,0.0,-0.0001010351211966844,0.03682222816515536,0.10259587202764543,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Infrastructure,ANTH.PVT,0.0354468026591889,0.0,0.0,0.0,0.0518809028257392,0.9666666666666666,0.0,0.0,0.0,0.001839012124244533,0.03426524257054926,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Application,TEM,0.0159366886216268,0.0529219720453242,0.0529219720453242,0.0275044519240332,0.8092418503497352,0.521674209262853,0.0008434009897287698,0.0008434009897287698,0.00043832988602182123,0.012896635388612842,0.008313759434955468,-0.0011542352311572895,-0.0011542352311572895,0.0001398687289279315,0.04635206028002071,0.18354680267717027
Semi,SNPS,0.0101493792299836,0.0400195821033031,0.0400195821033031,0.1789067621306459,0.2673685994885904,0.0977015588046354,0.00040617391539188785,0.00040617391539188785,0.001815792575672394,0.002713625310399303,0.0009916101716687879,-0.0035522199003941617,-0.0035522199003941617,0.007718678390132119,0.01966777489453176,0.05424168879138088
Application,WDAY,0.0127045135671944,0.0231055313908559,0.0231055313908559,-0.0005015889283553,-0.073324800443565,0.0369936625533848,0.00029354453703236483,0.00029354453703236483,-6.3724433454444096e-06,-0.0009315559220470934,0.0004699864878096886,-0.0011542352311572895,-0.0011542352311572895,0.0001398687289279315,0.04635206028002071,0.18354680267717027
Semi,2330.TW,0.0231460624545135,-0.017391304347826,-0.017391304347826,0.0414746543778801,0.0605433437814737,0.1438487804865993,-0.0004025402166002328,-0.0004025402166002328,0.0009599749405097747,0.0014013400163710719,0.0033295328571484304,-0.0035522199003941617,-0.0035522199003941617,0.007718678390132119,0.01966777489453176,0.05424168879138088
Semi,2454.TW,0.0086721805998991,0.0035087719298245,0.0035087719298245,0.1436469660098089,0.0520561487694701,0.1630151846940459,3.0428703859294556e-05,3.0428703859294556e-05,0.0012457324318646303,0.00045144032346406006,0.0014136971221926737,-0.0035522199003941617,-0.0035522199003941617,0.007718678390132119,0.01966777489453176,0.05424168879138088
Infrastructure,MSFT,0.0511492451631025,-0.0093910688308224,-0.0093910688308224,0.0268671914412594,0.2033513208333217,0.1561729609348328,-0.00048034608197130527,-0.00048034608197130527,0.001374236561872986,0.010401266563544283,0.007988129066703391,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Infrastructure,ZS,0.012359197875298,-0.0094303688582089,-0.0094303688582089,-0.0703176342383147,0.5836704487306899,0.5008141975273017,-0.00011655179475565185,-0.00011655179475565185,-0.000869069555674161,0.007213698569826572,0.0061896617659985,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
