Country,Ticker,Weight,DTD,WTD,MTD,YTD,Since Launch,DTD_contribution,WTD_contribution,MTD_contribution,YTD_contribution,SinceLaunch_contribution,country_DTD_contribution,country_WTD_contribution,country_MTD_contribution,country_YTD_contribution,country_SinceLaunch_contribution
United States,TEM,0.0149958534841416,-0.0386106054620977,0.0,0.0429809120749014,0.8364929823013179,0.5445939447619663,-0.0005789989824436145,0.0,0.0006445354600899939,0.012543926203103215,0.00816665100400115,0.004627769516265298,0.0,0.04901287595855042,0.15907310425857224,0.4667850967109361
United Kingdom,ARM,0.0097796160361097,0.0073542744481722,0.0,0.0514296244608352,0.3324415880668749,0.0381481286950136,7.192198032729667e-05,0.0,0.0005029619801082836,0.0032511510857285847,0.0003730740511333316,7.192198032729667e-05,0.0,0.0005029619801082836,0.0032511510857285847,0.0003730740511333316
US,ANTH.PVT,0.0296776003176096,0.0,0.0,0.0,0.0518809028257392,0.9666666666666666,0.0,0.0,0.0,0.0015397006981790304,0.02868834697368928,0.0003894838332648482,0.0,-9.400990215018617e-06,0.03250657051763626,0.11483512298460502
United States,SNOW,0.0191636112302257,-0.0038266883463682,0.0,0.012501722151138,0.4161647107233679,0.6841497561343648,-7.333316776903545e-05,0.0,0.00023957814301270956,0.007975218724041963,0.013110779949812688,0.004627769516265298,0.0,0.04901287595855042,0.15907310425857224,0.4667850967109361
Netherlands,ESTC,0.0169859326530297,-0.0111284219141748,0.0,0.0615219398184676,-0.1031489809429924,-0.2014737456405908,-0.00018902662516867298,0.0,0.0010450075264402368,-0.0017520816435263127,-0.0034222194748047114,0.0008990170103290331,0.0,0.0014780072262861165,0.024653846827141866,0.04057776751904439
Canada,SHOP,0.0168258607436499,0.0193682876059158,0.0,0.1257654956885487,0.1928900042663763,1.009824039156891,0.0003258881101000996,0.0,0.002116112716811622,0.003245540350628083,0.01699115865844391,0.0003258881101000996,0.0,0.002116112716811622,0.003245540350628083,0.01699115865844391
United States,VRT,0.0151029076293407,0.0369535301225387,0.0,0.1632936346232305,0.2556965588081057,0.7289657601315931,0.0005581057520187611,0.0,0.0024662086801739602,0.0038617615088191027,0.01100950254021958,0.004627769516265298,0.0,0.04901287595855042,0.15907310425857224,0.4667850967109361
United States,CFLT,0.0113091313285297,-0.0127970887235109,0.0,0.0821642955660988,-0.034334732328578,0.101591176983508,-0.00014472395699703127,0.0,0.0009292068090731419,-0.00038829599703380294,0.0011489079623263957,0.004627769516265298,0.0,0.04901287595855042,0.15907310425857224,0.4667850967109361
United States,ANET,0.0132498696915777,0.0286139683880826,0.0,0.1884541370893617,0.0635122079977423,0.4135826753593243,0.00037913135250101807,0.0,0.0024969927592727627,0.0008415284797944646,0.005479916555205131,0.004627769516265298,0.0,0.04901287595855042,0.15907310425857224,0.4667850967109361
Netherlands,ASML,0.0123414622269547,0.0263479339943624,0.0,-0.0765114491785654,0.058750823256128,-0.2026564734639381,0.00032517203214971923,0.0,-0.000944263159966829,0.0007250710660179955,-0.0025010772123030397,0.0008990170103290331,0.0,0.0014780072262861165,0.024653846827141866,0.04057776751904439
