Avg Daily Volume,Avg Daily Change (%),Ticker,Type,Industry,Weight
8624618.75,11.133130928576957,ARM,Holding,Semi,0.009353234133069096
359.9876923076923,inf,XAIX.F,Comparison ETF,,0.0
48697696.08763693,4.668919562673337,AMZN,Holding,Infrastructure,0.049339843613091516
7714060.406885759,7.247479073060849,SMH,Comparison ETF,,0.0
4207228998.435055,inf,^SPX,Comparison ETF,,0.0
399969201.8779343,2.829338940333751,^DJI,Comparison ETF,,0.0
10362.546153846153,inf,XB0T.DE,Comparison ETF,,0.0
697446.7918622848,12.710755722308676,DUOL,Holding,Application,0.01577069621919407
44755387.63693271,4.159577228747819,QQQ,Comparison ETF,,0.0
845619.7183098592,10.668900694785002,BOTZ,Comparison ETF,,0.0
28273093.58372457,8.011828736385999,AVGO,Holding,Semi,0.026306112444217458
7227287.167449139,9.750010539963176,VRT,Holding,Semi,0.013661796523116112
1337729.2644757433,8.322313455611798,ASML,Holding,Semi,0.012293413307207407
13510.828025477707,151.84658736904206,AIS,Comparison ETF,,0.0
13533774.334898278,8.304488451977026,MRVL,Holding,Semi,0.014563679369942803
4646723.7871674495,10.819421904243026,CFLT,Holding,Infrastructure,0.010898765995452262
0.0,,XAAI.PVT,Holding,Infrastructure,0.044667425228546026
0.0,,ANTH.PVT,Holding,Infrastructure,0.03557096581031123
21246.69421487603,126.68454915613717,XAIX,Comparison ETF,,0.0
7213498.909090909,13.94412559054509,TEM,Holding,Application,0.016376289095871008
1071151.1737089201,8.669608497754956,SNPS,Holding,Semi,0.010264139679489293
2200809.2331768386,9.51026869419562,WDAY,Holding,Application,0.012955137499837338
79765.50458715597,18.284993045533408,CHAT,Comparison ETF,,0.0
33352843.79608483,11.373648555170718,2330.TW,Holding,Semi,0.023241759483594276
6677744.898858075,11.493694363556116,2454.TW,Holding,Semi,0.008708066445303815
22899.62192816635,26.13865342080537,FDTX,Comparison ETF,,0.0
6741.940532081378,89.98326706719034,LOUP,Comparison ETF,,0.0
23742815.962441314,5.022874661299087,MSFT,Holding,Infrastructure,0.05082504547753263
2256491.86228482,9.65985890609658,ZS,Holding,Infrastructure,0.012361902446035994
2636553.3646322377,11.052579438589321,GTLB,Holding,Infrastructure,0.011499415742978962
9809368.388106417,8.445625292838086,ANET,Holding,Semi,0.012494920264795687
11601.185770750988,107.35854757232386,AGIX,AGIX,,0.0
4485601.72143975,10.027733590406516,APP,Holding,Application,0.014147503628956577
67819775.58685446,7.800157773227381,PLTR,Holding,Infrastructure,0.02697349443527236
11266.336633663366,57.90261266192015,WISE,Comparison ETF,,0.0
11351388.235294119,13.237470868009307,NBIS,Holding,Infrastructure,0.028992703137371317
9033350.704225352,10.664635500177974,RBLX,Holding,Application,0.022541204927037182
161511.4241001565,15.170735270104851,ARTY,Comparison ETF,,0.0
1400083.8810641628,7.69280936601595,NOW,Holding,Application,0.02378118589658551
7683897.652582159,10.198702114999133,PANW,Holding,Infrastructure,0.01246978772863424
388439793.42723006,3.7304681596925247,NVDA,Holding,Semi,0.04496571031708774
18611602.503912363,6.3892212952862515,META,Holding,Application,0.07107758160801003
19655572.926447574,6.380844470483991,MU,Holding,Semi,0.011165516302246381
69531541.15805946,4.192249228949695,SPY,Comparison ETF,,0.0
3375063.38028169,5.652771264821658,DIA,Comparison ETF,,0.0
38198.0992248062,23.353250960943853,RBTZ.AX,Comparison ETF,,0.0
6587216.901408451,7.595921668567929,CRM,Holding,Application,0.02504144560680439
944902.6604068858,8.366556801662263,SAP,Holding,Application,0.020529381140777132
462145.8528951487,16.17942568593362,AIQ,Comparison ETF,,0.0
5854771.51799687,9.556224535191541,SNOW,Holding,Infrastructure,0.018469734068882863
11472477.151799686,9.586869275566583,SHOP,Holding,Application,0.016214922729213568
4425463.3802816905,12.980433954620334,IGV,Comparison ETF,,0.0
8487691.392801251,6.963678580720707,QCOM,Holding,Semi,0.008769557780817306
1387554.9295774647,10.523859741549643,ESTC,Holding,Infrastructure,0.01646702231587566
3665475.8998435056,9.464215006262105,PSTG,Holding,Infrastructure,0.011642558043130708
9500265.727699531,7.944976519536177,ORCL,Holding,Infrastructure,0.027257188359454943
127106.72926447574,53.93004102506103,WTAI,Comparison ETF,,0.0
25376.28951486698,31.18211285566339,RBOT,Comparison ETF,,0.0
3331955.0860719876,6.234131780972953,ADBE,Holding,Application,0.01771245263864383
3778682.1669341894,34.28208801908349,000660.KS,Holding,Semi,0.01915799035833726
57917236.306729265,4.7281873117065185,AAPL,Holding,Semi,0.03104291061926182
4678988.106416276,9.161459265432772,DDOG,Holding,Infrastructure,0.018592835851455634
31432.862015503877,2549.6579753398087,AIAI.L,Comparison ETF,,0.0
22798.1220657277,52.86207468661382,THNQ,Comparison ETF,,0.0
114274402.66040689,2.7168038702219386,TSLA,Holding,Infrastructure,0.025965483201147808
1745106.2597809078,10.533404851680896,MDB,Holding,Infrastructure,0.013872266624525002
1961892.1752738655,8.941131347536416,TEAM,Holding,Application,0.012685528515944287
43000.15649452269,32.57055437711129,IGPT,Comparison ETF,,0.0
3806866.510172144,9.45965498169386,NET,Holding,Infrastructure,0.021088044068413265
31484948.35680751,6.14035048040279,GOOGL,Holding,Infrastructure,0.033625338265623334
10056.964006259781,67.17347054362331,LRNZ,Comparison ETF,,0.0
3651804.8513302035,12.002820147318271,IOT,Holding,Application,0.014598043050902884
