"AGIX Holdings","As of 2025-07-22","Holdings Are Subject To Change"
Rank,Company Name,% of Net Assets,Ticker,Identifier,Shares Held,Market Value($)
1,META PLATFORMS INC,7.06,META,US30303M1027,"3,345","2,357,589"
2,MICROSOFT CORP,5.11,MSFT,US5949181045,"3,374","1,704,781"
3,AMAZON.COM INC,4.94,AMZN,US0231351067,"7,258","1,650,977"
4,XAI HOLDINGS CORP,4.49,XAAI.PVT,–,"41,029","1,500,020"
5,NVIDIA CORP,4.42,NVDA,US67066G1040,"8,842","1,476,879"
6,"ANTHROPIC, PBC",3.58,ANTH.PVT,–,"17,829","1,194,543"
7,ALPHABET INC-CL A,3.4,GOOGL,US02079K3059,"5,936","1,135,794"
8,APPLE INC,3.13,AAPL,US0378331005,"4,868","1,043,699"
9,NEBIUS GROUP NV,2.87,NBIS,NL0009805522,"18,767","957,305"
10,ORACLE CORP,2.7,ORCL,US68389X1054,"3,784","901,008"
11,PALANTIR TECHN-A,2.62,PLTR,US69608A1088,"5,858","873,252"
12,TESLA INC,2.61,TSLA,US88160R1014,"2,622","870,792"
13,BROADCOM INC,2.6,AVGO,US11135F1012,"3,114","867,529"
14,SALESFORCE INC,2.48,CRM,US79466L3024,"3,147","829,518"
15,SERVICENOW INC,2.41,NOW,US81762P1021,835,"803,579"
16,TSMC,2.3,2330.TW,TW0002330008,"20,000","767,441"
17,ROBLOX CORP -CLASS A,2.3,RBLX,US7710491033,"6,381","766,996"
18,SAP SE,2.15,SAP,DE0007164600,"2,361","718,273"
19,CLOUDFLARE INC - CLASS A,2.14,NET,US18915M1071,"3,744","713,419"
20,SK HYNIX INC,1.91,000660.KS,KR7000660001,"3,301","638,834"
21,DATADOG INC - CLASS A,1.88,DDOG,US23804L1035,"4,336","628,243"
22,SNOWFLAKE INC,1.85,SNOW,US8334451098,"2,918","619,346"
23,ADOBE INC,1.78,ADBE,US00724F1012,"1,597","595,473"
24,ELASTIC NV,1.66,ESTC,NL0013056914,"6,357","555,284"
25,SHOPIFY INC - CLASS A,1.65,SHOP,CA82509L1076,"4,465","551,435"
26,DUOLINGO,1.57,DUOL,US26603R1068,"1,472","524,371"
27,TEMPUS AI INC,1.55,TEM,US88023B1035,"8,479","517,897"
28,MARVELL TECHNOLOGY INC,1.44,MRVL,US5738741041,"6,675","480,533"
29,SAMSARA INC-CL A,1.44,IOT,US79589L1061,"12,697","479,566"
30,APPLOVIN CORP-CLASS A,1.38,APP,US03831W1080,"1,312","459,200"
31,MONGODB INC,1.37,MDB,US60937P1066,"2,041","457,786"
32,VERTIV HOLDINGS CO-A,1.32,VRT,US92537N1081,"3,524","441,522"
33,WORKDAY INC-CLASS A,1.29,WDAY,US98138H1014,"1,805","431,594"
34,ZSCALER INC,1.25,ZS,US98980G1022,"1,465","418,565"
35,ATLASSIAN CORP-CL A,1.25,TEAM,US0494681010,"2,103","417,319"
36,PALO ALTO NETWORKS INC,1.24,PANW,US6974351057,"2,102","413,526"
37,ASML HOLDING NV,1.23,ASML,NL0010273215,580,"409,609"
38,ARISTA NETWORKS INC,1.22,ANET,US0404132054,"3,712","407,503"
39,PURE STORAGE-A,1.14,PSTG,US74624M1027,"6,821","380,612"
40,GITLAB INC-CL A,1.13,GTLB,US37637K1088,"8,199","377,400"
41,MICRON TECHNOLOGY INC,1.12,MU,US5951121038,"3,414","372,877"
42,CONFLUENT INC-CLASS A,1.08,CFLT,US20717M1036,"13,890","361,279"
43,SYNOPSYS INC,1.03,SNPS,US8716071076,561,"345,088"
44,ARM HOLDINGS PLC-ADR,0.92,ARM,US0420682058,"1,972","308,618"
45,MEDIATEK INC,0.87,2454.TW,TW0002454006,"6,000","291,356"
46,QUALCOMM INC,0.87,QCOM,US7475251036,"1,842","291,018"
47,Cash,0.25,,–,"83,094","83,094"
48,EURO,0.0,,–,43,50
49,CANADIAN DOLLAR,0.0,,–,3,2
