"AGIX Holdings","As of 2025-07-16","Holdings Are Subject To Change"
Rank,"Company Name","% of Net Assets",Ticker,Identifier,"Shares Held","Market Value($)"
1,"META PLATFORMS INC",7.08,META,US30303M1027,"3,345","2,351,234"
2,"MICROSOFT CORP",5.14,MSFT,US5949181045,"3,374","1,705,962"
3,"AMAZON.COM INC",4.88,AMZN,US0231351067,"7,258","1,619,913"
4,Cash,4.74,,–,"1,574,220","1,574,220"
5,"NVIDIA CORP",4.56,NVDA,US67066G1040,"8,842","1,515,254"
6,"ANTHROPIC, PBC",3.60,1892140D,–,"17,829","1,194,543"
7,"ALPHABET INC-CL A",3.26,GOOGL,US02079K3059,"5,911","1,081,536"
8,"APPLE INC",3.08,AAPL,US0378331005,"4,868","1,023,059"
9,"NEBIUS GROUP NV",3.01,NBIS,NL0009805522,"18,767","1,000,469"
10,"ORACLE CORP",2.75,ORCL,US68389X1054,"3,784","913,079"
11,"PALANTIR TECHN-A",2.66,PLTR,US69608A1088,"5,858","884,031"
12,"BROADCOM INC",2.63,AVGO,US11135F1012,"3,114","874,442"
13,"TESLA INC",2.54,TSLA,US88160R1014,"2,622","843,419"
14,"SALESFORCE INC",2.44,CRM,US79466L3024,"3,147","811,769"
15,"SERVICENOW INC",2.43,NOW,US81762P1021,835,"807,420"
16,TSMC,2.32,2330,TW0002330008,"20,000","769,283"
17,"ROBLOX CORP -CLASS A",2.29,RBLX,US7710491033,"6,381","759,467"
18,"SAP SE",2.26,SAP,DE0007164600,"2,487","749,708"
19,"CLOUDFLARE INC - CLASS A",2.14,NET,US18915M1071,"3,744","710,649"
20,"SK HYNIX INC",2.12,000660,KR7000660001,"3,301","705,179"
21,"SNOWFLAKE INC",1.86,SNOW,US8334451098,"2,918","618,441"
22,"DATADOG INC - CLASS A",1.82,DDOG,US23804L1035,"4,336","604,265"
23,"ADOBE INC",1.74,ADBE,US00724F1012,"1,597","577,747"
24,"ELASTIC NV",1.63,ESTC,NL0013056914,"6,357","540,599"
25,"SHOPIFY INC - CLASS A",1.61,SHOP,CA82509L1076,"4,465","533,350"
26,DUOLINGO,1.60,DUOL,US26603R1068,"1,472","531,907"
27,"TEMPUS AI INC",1.53,TEM,US88023B1035,"8,479","508,486"
28,"SAMSARA INC-CL A",1.45,IOT,US79589L1061,"12,697","482,359"
29,"APPLOVIN CORP-CLASS A",1.40,APP,US03831W1080,"1,312","466,416"
30,"MARVELL TECHNOLOGY INC",1.35,MRVL,US5738741041,"6,340","449,189"
31,"VERTIV HOLDINGS CO-A",1.33,VRT,US92537N1081,"3,524","441,910"
32,"MONGODB INC",1.29,MDB,US60937P1066,"2,041","427,875"
33,"WORKDAY INC-CLASS A",1.23,WDAY,US98138H1014,"1,805","409,248"
34,"PALO ALTO NETWORKS INC",1.22,PANW,US6974351057,"2,102","404,824"
35,"ARISTA NETWORKS INC",1.21,"2512042D US",US0404132054,"3,712","402,010"
36,"ATLASSIAN CORP-CL A",1.21,TEAM,US0494681010,"2,103","400,516"
37,"ASML HOLDING NV",1.20,ASML,NL0010273215,551,"399,865"
38,"ZSCALER INC",1.20,ZS,US98980G1022,"1,388","399,411"
39,"MICRON TECHNOLOGY INC",1.20,MU,US5951121038,"3,414","397,492"
40,"PURE STORAGE-A",1.13,PSTG,US74624M1027,"6,821","374,064"
41,"GITLAB INC-CL A",1.05,GTLB,US37637K1088,"8,199","349,031"
42,"CONFLUENT INC-CLASS A",1.04,CFLT,US20717M1036,"13,890","346,139"
43,"SYNOPSYS INC",0.97,SNPS,US8716071076,561,"320,443"
44,"ARM HOLDINGS PLC-ADR",0.91,ARM,US0420682058,"1,972","303,491"
45,"MEDIATEK INC",0.87,2454,TW0002454006,"6,000","287,971"
46,"QUALCOMM INC",0.85,QCOM,US7475251036,"1,842","283,797"
47,"CANADIAN DOLLAR",0.15,,–,"66,535","48,426"
48,EURO,0.00,,–,43,50
