"AGIX Holdings","As of 2025-07-29","Holdings Are Subject To Change"
Rank,Company Name,% of Net Assets,Ticker,Identifier,Shares Held,Market Value($)
1,META PLATFORMS INC,7.0,META,US30303M1027,"4,033","2,823,100"
2,MICROSOFT CORP,5.18,MSFT,US5949181045,"4,074","2,088,210"
3,AMAZON.COM INC,5.01,AMZN,US0231351067,"8,746","2,020,413"
4,NVIDIA CORP,4.67,NVDA,US67066G1040,"10,726","1,882,520"
5,XAI HOLDINGS CORP,3.72,XAAI.PVT,–,"41,029","1,500,020"
6,ALPHABET INC-CL A,3.49,GOOGL,US02079K3059,"7,188","1,407,051"
7,APPLE INC,3.08,AAPL,US0378331005,"5,888","1,243,958"
8,"ANTHROPIC, PBC",2.96,ANTH.PVT,–,"17,829","1,194,543"
9,ORACLE CORP,2.84,ORCL,US68389X1054,"4,588","1,146,908"
10,NEBIUS GROUP NV,2.83,NBIS,NL0009805522,"22,679","1,143,022"
11,BROADCOM INC,2.78,AVGO,US11135F1012,"3,766","1,120,084"
12,PALANTIR TECHN-A,2.75,PLTR,US69608A1088,"7,098","1,108,992"
13,TESLA INC,2.53,TSLA,US88160R1014,"3,182","1,022,058"
14,SALESFORCE INC,2.52,CRM,US79466L3024,"3,799","1,015,815"
15,SERVICENOW INC,2.49,NOW,US81762P1021,"1,011","1,004,125"
16,ROBLOX CORP -CLASS A,2.28,RBLX,US7710491033,"7,781","920,726"
17,TSMC,2.27,2330.TW,TW0002330008,"24,000","917,280"
18,CLOUDFLARE INC - CLASS A,2.24,NET,US18915M1071,"4,528","903,019"
19,SAP SE,2.03,SAP,DE0007164600,"2,857","817,889"
20,DATADOG INC - CLASS A,1.95,DDOG,US23804L1035,"5,240","787,415"
21,SNOWFLAKE INC,1.91,SNOW,US8334451098,"3,526","771,348"
22,SK HYNIX INC,1.86,000660.KS,KR7000660001,"3,973","749,873"
23,ADOBE INC,1.77,ADBE,US00724F1012,"1,925","713,598"
24,ELASTIC NV,1.7,ESTC,NL0013056914,"7,701","683,695"
25,SHOPIFY INC - CLASS A,1.68,SHOP,CA82509L1076,"5,429","677,252"
26,MARVELL TECHNOLOGY INC,1.52,MRVL,US5738741041,"8,051","614,613"
27,VERTIV HOLDINGS CO-A,1.51,VRT,US92537N1081,"4,260","607,902"
28,TEMPUS AI INC,1.5,TEM,US88023B1035,"10,355","603,593"
29,SAMSARA INC-CL A,1.49,IOT,US79589L1061,"15,353","602,452"
30,MONGODB INC,1.47,MDB,US60937P1066,"2,469","594,733"
31,DUOLINGO,1.46,DUOL,US26603R1068,"1,760","587,330"
32,APPLOVIN CORP-CLASS A,1.42,APP,US03831W1080,"1,588","574,268"
33,ARISTA NETWORKS INC,1.32,ANET,US0404132054,"4,496","533,316"
34,WORKDAY INC-CLASS A,1.3,WDAY,US98138H1014,"2,185","523,592"
35,ZSCALER INC,1.26,ZS,US98980G1022,"1,757","509,653"
36,ATLASSIAN CORP-CL A,1.26,TEAM,US0494681010,"2,547","509,553"
37,ASML HOLDING NV,1.23,ASML,NL0010273215,692,"496,752"
38,PALO ALTO NETWORKS INC,1.22,PANW,US6974351057,"2,542","492,741"
39,PURE STORAGE-A,1.22,PSTG,US74624M1027,"8,261","490,456"
40,GITLAB INC-CL A,1.16,GTLB,US37637K1088,"9,911","467,700"
41,MICRON TECHNOLOGY INC,1.14,MU,US5951121038,"4,118","461,051"
42,CONFLUENT INC-CLASS A,1.13,CFLT,US20717M1036,"16,878","455,200"
43,SYNOPSYS INC,1.07,SNPS,US8716071076,681,"432,987"
44,ARM HOLDINGS PLC-ADR,0.98,ARM,US0420682058,"2,408","393,636"
45,Cash,0.91,,–,"366,125","366,125"
46,QUALCOMM INC,0.9,QCOM,US7475251036,"2,230","361,438"
47,MEDIATEK INC,0.68,2454.TW,TW0002454006,"6,000","274,780"
48,EURO,0.0,,–,43,49
49,CANADIAN DOLLAR,0.0,,–,3,2
50,KOREAN WON,-0.31,,–,"-176,033,387","-126,571"
51,TAIWAN DOLLAR,-0.38,,–,"-4,598,217","-154,840"
