"AGIX Holdings","As of 2025-07-15","Holdings Are Subject To Change"
Rank,"Company Name","% of Net Assets",Ticker,Identifier,"Shares Held","Market Value($)"
1,"META PLATFORMS INC",7.52,META,US30303M1027,"3,169","2,251,226"
2,"MICROSOFT CORP",5.37,MSFT,US5949181045,"3,180","1,608,508"
3,"AMAZON.COM INC",5.20,AMZN,US0231351067,"6,877","1,556,609"
4,"NVIDIA CORP",4.89,NVDA,US67066G1040,"8,573","1,463,411"
5,"ANTHROPIC, PBC",3.99,1892140D,–,"17,829","1,194,543"
6,"NEBIUS GROUP NV",3.28,NBIS,NL0009805522,"18,362","982,918"
7,"ALPHABET INC-CL A",3.21,GOOGL,US02079K3059,"5,285","961,870"
8,"APPLE INC",3.18,AAPL,US0378331005,"4,559","953,332"
9,"ORACLE CORP",2.87,ORCL,US68389X1054,"3,659","859,719"
10,"PALANTIR TECHN-A",2.80,PLTR,US69608A1088,"5,649","839,328"
11,"BROADCOM INC",2.79,AVGO,US11135F1012,"2,977","836,358"
12,"TESLA INC",2.63,TSLA,US88160R1014,"2,539","789,070"
13,"SALESFORCE INC",2.58,CRM,US79466L3024,"3,004","773,770"
14,"SERVICENOW INC",2.58,NOW,US81762P1021,807,"772,234"
15,"ROBLOX CORP -CLASS A",2.37,RBLX,US7710491033,"6,317","710,536"
16,TSMC,2.28,2330,TW0002330008,"18,000","681,655"
17,"SAP SE",2.26,SAP,DE0007164600,"2,239","675,813"
18,"CLOUDFLARE INC - CLASS A",2.20,NET,US18915M1071,"3,531","660,191"
19,"SK HYNIX INC",2.14,000660,KR7000660001,"2,965","641,249"
20,"SNOWFLAKE INC",1.97,SNOW,US8334451098,"2,771","589,641"
21,"DATADOG INC - CLASS A",1.90,DDOG,US23804L1035,"4,059","570,533"
22,"ADOBE INC",1.82,ADBE,US00724F1012,"1,501","546,634"
23,"TEMPUS AI INC",1.74,TEM,US88023B1035,"9,341","522,068"
24,"ELASTIC NV",1.72,ESTC,NL0013056914,"6,148","516,616"
25,"SHOPIFY INC - CLASS A",1.69,SHOP,CA82509L1076,"4,390","505,161"
26,DUOLINGO,1.68,DUOL,US26603R1068,"1,328","502,396"
27,"SAMSARA INC-CL A",1.52,IOT,US79589L1061,"12,077","454,337"
28,"APPLOVIN CORP-CLASS A",1.46,APP,US03831W1080,"1,240","437,670"
29,"VERTIV HOLDINGS CO-A",1.42,VRT,US92537N1081,"3,334","424,652"
30,"MARVELL TECHNOLOGY INC",1.37,MRVL,US5738741041,"5,652","409,261"
31,"ASML HOLDING NV",1.36,ASML,NL0010273215,495,"406,073"
32,"MONGODB INC",1.35,MDB,US60937P1066,"1,937","404,174"
33,"WORKDAY INC-CLASS A",1.30,WDAY,US98138H1014,"1,725","387,987"
34,"PALO ALTO NETWORKS INC",1.27,PANW,US6974351057,"1,986","381,809"
35,"MICRON TECHNOLOGY INC",1.25,MU,US5951121038,"3,112","373,782"
36,"ATLASSIAN CORP-CL A",1.24,TEAM,US0494681010,"1,983","372,189"
37,"ZSCALER INC",1.20,ZS,US98980G1022,"1,242","358,814"
38,"ARISTA NETWORKS INC",1.20,"2512042D US",US0404132054,"3,337","358,294"
39,"PURE STORAGE-A",1.17,PSTG,US74624M1027,"6,402","349,037"
40,"CONFLUENT INC-CLASS A",1.11,CFLT,US20717M1036,"13,708","333,927"
41,"GITLAB INC-CL A",1.11,GTLB,US37637K1088,"7,753","332,604"
42,"SYNOPSYS INC",0.99,SNPS,US8716071076,522,"297,070"
43,"MEDIATEK INC",0.95,2454,TW0002454006,"6,000","285,558"
44,"QUALCOMM INC",0.91,QCOM,US7475251036,"1,773","273,574"
45,"ARM HOLDINGS PLC-ADR",0.91,ARM,US0420682058,"1,849","272,006"
46,Cash,0.26,,–,"76,954","76,954"
47,EURO,0.00,,–,43,50
48,"CANADIAN DOLLAR",0.00,,–,3,2
