"AGIX Holdings","As of 2025-07-31","Holdings Are Subject To Change"
Rank,Company Name,% of Net Assets,Ticker,Identifier,Shares Held,Market Value($)
1,META PLATFORMS INC,7.75,META,US30303M1027,"4,549","3,518,379"
2,MICROSOFT CORP,5.41,MSFT,US5949181045,"4,599","2,453,567"
3,AMAZON.COM INC,5.09,AMZN,US0231351067,"9,862","2,308,793"
4,NVIDIA CORP,4.76,NVDA,US67066G1040,"12,139","2,159,164"
5,ALPHABET INC-CL A,3.44,GOOGL,US02079K3059,"8,127","1,559,571"
6,XAI HOLDINGS CORP,3.31,XAAI.PVT,–,"41,029","1,500,020"
7,NEBIUS GROUP NV,3.07,NBIS,NL0009805522,"25,613","1,394,116"
8,APPLE INC,3.04,AAPL,US0378331005,"6,653","1,380,963"
9,ORACLE CORP,2.9,ORCL,US68389X1054,"5,191","1,317,320"
10,PALANTIR TECHN-A,2.8,PLTR,US69608A1088,"8,028","1,271,234"
11,BROADCOM INC,2.75,AVGO,US11135F1012,"4,255","1,249,694"
12,ROBLOX CORP -CLASS A,2.68,RBLX,US7710491033,"8,831","1,216,823"
13,"ANTHROPIC, PBC",2.63,ANTH.PVT,–,"17,829","1,194,543"
14,TESLA INC,2.45,TSLA,US88160R1014,"3,602","1,110,389"
15,SALESFORCE INC,2.44,CRM,US79466L3024,"4,288","1,107,719"
16,SERVICENOW INC,2.38,NOW,US81762P1021,"1,143","1,077,986"
17,CLOUDFLARE INC - CLASS A,2.34,NET,US18915M1071,"5,116","1,062,491"
18,TSMC,2.31,2330.TW,TW0002330008,"27,000","1,049,334"
19,SAP SE,2.04,SAP,DE0007164600,"3,229","926,890"
20,SNOWFLAKE INC,1.96,SNOW,US8334451098,"3,982","889,977"
21,SK HYNIX INC,1.95,000660.KS,KR7000660001,"4,477","882,939"
22,DATADOG INC - CLASS A,1.83,DDOG,US23804L1035,"5,918","828,402"
23,ADOBE INC,1.71,ADBE,US00724F1012,"2,171","776,545"
24,SHOPIFY INC - CLASS A,1.66,SHOP,CA82509L1076,"6,152","753,654"
25,MARVELL TECHNOLOGY INC,1.61,MRVL,US5738741041,"9,083","730,001"
26,ELASTIC NV,1.61,ESTC,NL0013056914,"8,709","728,943"
27,APPLOVIN CORP-CLASS A,1.55,APP,US03831W1080,"1,795","701,307"
28,VERTIV HOLDINGS CO-A,1.54,VRT,US92537N1081,"4,812","700,627"
29,DUOLINGO,1.51,DUOL,US26603R1068,"1,976","684,783"
30,TEMPUS AI INC,1.47,TEM,US88023B1035,"11,762","665,612"
31,MONGODB INC,1.46,MDB,US60937P1066,"2,790","663,713"
32,SAMSARA INC-CL A,1.45,IOT,US79589L1061,"17,345","659,630"
33,ARISTA NETWORKS INC,1.38,ANET,US0404132054,"5,084","626,450"
34,WORKDAY INC-CLASS A,1.25,WDAY,US98138H1014,"2,470","566,569"
35,ZSCALER INC,1.24,ZS,US98980G1022,"1,976","564,267"
36,PURE STORAGE-A,1.23,PSTG,US74624M1027,"9,341","555,976"
37,ATLASSIAN CORP-CL A,1.22,TEAM,US0494681010,"2,880","552,326"
38,ASML HOLDING NV,1.2,ASML,NL0010273215,776,"544,535"
39,MICRON TECHNOLOGY INC,1.12,MU,US5951121038,"4,646","507,064"
40,PALO ALTO NETWORKS INC,1.1,PANW,US6974351057,"2,872","498,579"
41,GITLAB INC-CL A,1.08,GTLB,US37637K1088,"11,195","490,453"
42,SYNOPSYS INC,1.08,SNPS,US8716071076,771,"488,405"
43,ARM HOLDINGS PLC-ADR,0.85,ARM,US0420682058,"2,735","386,661"
44,QUALCOMM INC,0.82,QCOM,US7475251036,"2,521","369,982"
45,CONFLUENT INC-CLASS A,0.75,CFLT,US20717M1036,"19,119","338,884"
46,Cash,0.65,,–,"295,638","295,638"
47,MEDIATEK INC,0.61,2454.TW,TW0002454006,"6,000","275,400"
48,EURO,0.0,,–,43,49
49,CANADIAN DOLLAR,0.0,,–,3,2
50,KOREAN WON,-0.21,,–,"-132,857,122","-95,801"
51,TAIWAN DOLLAR,-0.25,,–,"-3,347,885","-112,166"
