"AGIX Holdings","As of 2025-07-24","Holdings Are Subject To Change"
Rank,Company Name,% of Net Assets,Ticker,Identifier,Shares Held,Market Value($)
1,META PLATFORMS INC,7.08,META,US30303M1027,"3,345","2,391,006"
2,MICROSOFT CORP,5.1,MSFT,US5949181045,"3,374","1,723,709"
3,AMAZON.COM INC,4.99,AMZN,US0231351067,"7,258","1,685,525"
4,NVIDIA CORP,4.55,NVDA,US67066G1040,"8,842","1,536,209"
5,XAI HOLDINGS CORP,4.44,XAAI.PVT,–,"41,029","1,500,020"
6,"ANTHROPIC, PBC",3.54,ANTH.PVT,–,"17,829","1,194,543"
7,ALPHABET INC-CL A,3.38,GOOGL,US02079K3059,"5,936","1,140,721"
8,APPLE INC,3.08,AAPL,US0378331005,"4,868","1,040,584"
9,NEBIUS GROUP NV,2.9,NBIS,NL0009805522,"18,767","978,887"
10,ORACLE CORP,2.72,ORCL,US68389X1054,"3,784","918,869"
11,PALANTIR TECHN-A,2.69,PLTR,US69608A1088,"5,858","907,170"
12,BROADCOM INC,2.66,AVGO,US11135F1012,"3,114","899,043"
13,SALESFORCE INC,2.49,CRM,US79466L3024,"3,147","842,452"
14,SERVICENOW INC,2.46,NOW,US81762P1021,835,"831,810"
15,TESLA INC,2.37,TSLA,US88160R1014,"2,622","800,497"
16,TSMC,2.31,2330.TW,TW0002330008,"20,000","780,013"
17,ROBLOX CORP -CLASS A,2.23,RBLX,US7710491033,"6,381","753,724"
18,CLOUDFLARE INC - CLASS A,2.12,NET,US18915M1071,"3,744","717,276"
19,SAP SE,2.02,SAP,DE0007164600,"2,361","683,684"
20,SK HYNIX INC,1.93,000660.KS,KR7000660001,"3,301","650,640"
21,DATADOG INC - CLASS A,1.88,DDOG,US23804L1035,"4,336","635,484"
22,SNOWFLAKE INC,1.86,SNOW,US8334451098,"2,918","627,428"
23,ADOBE INC,1.76,ADBE,US00724F1012,"1,597","593,589"
24,ELASTIC NV,1.67,ESTC,NL0013056914,"6,357","563,929"
25,SHOPIFY INC - CLASS A,1.62,SHOP,CA82509L1076,"4,465","545,997"
26,TEMPUS AI INC,1.59,TEM,US88023B1035,"8,479","537,060"
27,DUOLINGO,1.57,DUOL,US26603R1068,"1,472","531,318"
28,MARVELL TECHNOLOGY INC,1.46,MRVL,US5738741041,"6,675","494,217"
29,SAMSARA INC-CL A,1.43,IOT,US79589L1061,"12,697","484,010"
30,MONGODB INC,1.42,MDB,US60937P1066,"2,041","479,962"
31,APPLOVIN CORP-CLASS A,1.4,APP,US03831W1080,"1,312","472,241"
32,VERTIV HOLDINGS CO-A,1.37,VRT,US92537N1081,"3,524","461,186"
33,WORKDAY INC-CLASS A,1.27,WDAY,US98138H1014,"1,805","428,137"
34,ARISTA NETWORKS INC,1.25,ANET,US0404132054,"3,712","423,316"
35,PALO ALTO NETWORKS INC,1.25,PANW,US6974351057,"2,102","422,838"
36,ASML HOLDING NV,1.24,ASML,NL0010273215,580,"420,325"
37,ATLASSIAN CORP-CL A,1.24,TEAM,US0494681010,"2,103","420,242"
38,ZSCALER INC,1.23,ZS,US98980G1022,"1,465","416,500"
39,PURE STORAGE-A,1.15,PSTG,US74624M1027,"6,821","388,524"
40,GITLAB INC-CL A,1.14,GTLB,US37637K1088,"8,199","383,631"
41,MICRON TECHNOLOGY INC,1.13,MU,US5951121038,"3,414","381,446"
42,CONFLUENT INC-CLASS A,1.09,CFLT,US20717M1036,"13,890","369,474"
43,SYNOPSYS INC,1.01,SNPS,US8716071076,561,"342,030"
44,ARM HOLDINGS PLC-ADR,0.93,ARM,US0420682058,"1,972","315,500"
45,QUALCOMM INC,0.87,QCOM,US7475251036,"1,842","292,583"
46,MEDIATEK INC,0.87,2454.TW,TW0002454006,"6,000","292,249"
47,Cash,0.24,,–,"81,165","81,165"
48,EURO,0.0,,–,43,50
49,CANADIAN DOLLAR,0.0,,–,3,2
