"AGIX Holdings","As of 2025-07-21","Holdings Are Subject To Change"
Rank,Company Name,% of Net Assets,Ticker,Identifier,Shares Held,Market Value($)
1,META PLATFORMS INC,7.08,META,US30303M1027,"3,345","2,384,868"
2,MICROSOFT CORP,5.11,MSFT,US5949181045,"3,374","1,720,942"
3,AMAZON.COM INC,4.94,AMZN,US0231351067,"7,258","1,664,259"
4,NVIDIA CORP,4.5,NVDA,US67066G1040,"8,842","1,515,342"
5,XAI HOLDINGS CORP,4.45,XAAI.PVT,–,"41,029","1,500,020"
6,"ANTHROPIC, PBC",3.55,ANTH.PVT,–,"17,829","1,194,543"
7,ALPHABET INC-CL A,3.35,GOOGL,US02079K3059,"5,936","1,128,434"
8,APPLE INC,3.07,AAPL,US0378331005,"4,868","1,034,353"
9,NEBIUS GROUP NV,2.92,NBIS,NL0009805522,"18,767","982,828"
10,ORACLE CORP,2.74,ORCL,US68389X1054,"3,784","921,555"
11,BROADCOM INC,2.66,AVGO,US11135F1012,"3,114","897,486"
12,PALANTIR TECHN-A,2.64,PLTR,US69608A1088,"5,858","889,186"
13,TESLA INC,2.56,TSLA,US88160R1014,"2,622","861,301"
14,SALESFORCE INC,2.45,CRM,US79466L3024,"3,147","825,395"
15,SERVICENOW INC,2.38,NOW,US81762P1021,835,"801,525"
16,ROBLOX CORP -CLASS A,2.36,RBLX,US7710491033,"6,381","794,435"
17,TSMC,2.32,2330.TW,TW0002330008,"20,000","782,433"
18,CLOUDFLARE INC - CLASS A,2.2,NET,US18915M1071,"3,744","740,413"
19,SAP SE,2.16,SAP,DE0007164600,"2,361","727,594"
20,SK HYNIX INC,1.92,000660.KS,KR7000660001,"3,301","648,024"
21,DATADOG INC - CLASS A,1.87,DDOG,US23804L1035,"4,336","629,891"
22,SNOWFLAKE INC,1.87,SNOW,US8334451098,"2,918","629,267"
23,ADOBE INC,1.74,ADBE,US00724F1012,"1,597","587,185"
24,SHOPIFY INC - CLASS A,1.7,SHOP,CA82509L1076,"4,465","573,005"
25,ELASTIC NV,1.64,ESTC,NL0013056914,"6,357","552,169"
26,DUOLINGO,1.56,DUOL,US26603R1068,"1,472","523,811"
27,TEMPUS AI INC,1.46,TEM,US88023B1035,"8,479","491,867"
28,MARVELL TECHNOLOGY INC,1.45,MRVL,US5738741041,"6,675","487,676"
29,SAMSARA INC-CL A,1.44,IOT,US79589L1061,"12,697","484,391"
30,APPLOVIN CORP-CLASS A,1.43,APP,US03831W1080,"1,312","480,415"
31,MONGODB INC,1.35,MDB,US60937P1066,"2,041","453,592"
32,VERTIV HOLDINGS CO-A,1.32,VRT,US92537N1081,"3,524","444,764"
33,ASML HOLDING NV,1.26,ASML,NL0010273215,580,"423,426"
34,ZSCALER INC,1.25,ZS,US98980G1022,"1,465","422,550"
35,WORKDAY INC-CLASS A,1.25,WDAY,US98138H1014,"1,805","421,847"
36,PALO ALTO NETWORKS INC,1.25,PANW,US6974351057,"2,102","420,148"
37,ARISTA NETWORKS INC,1.23,ANET,US0404132054,"3,712","414,296"
38,ATLASSIAN CORP-CL A,1.21,TEAM,US0494681010,"2,103","408,739"
39,PURE STORAGE-A,1.15,PSTG,US74624M1027,"6,821","388,865"
40,MICRON TECHNOLOGY INC,1.15,MU,US5951121038,"3,414","386,567"
41,GITLAB INC-CL A,1.09,GTLB,US37637K1088,"8,199","368,299"
42,CONFLUENT INC-CLASS A,1.05,CFLT,US20717M1036,"13,890","353,987"
43,SYNOPSYS INC,0.99,SNPS,US8716071076,561,"331,809"
44,ARM HOLDINGS PLC-ADR,0.95,ARM,US0420682058,"1,972","319,306"
45,QUALCOMM INC,0.87,QCOM,US7475251036,"1,842","292,823"
46,MEDIATEK INC,0.86,2454.TW,TW0002454006,"6,000","290,861"
47,Cash,0.13,,–,"45,267","45,267"
48,EURO,0.12,,–,"33,196","38,831"
49,CANADIAN DOLLAR,0.0,,–,3,2
