"AGIX Holdings","As of 2025-07-10","Holdings Are Subject To Change"
Rank,"Company Name","% of Net Assets",Ticker,Identifier,"Shares Held","Market Value($)"
1,"META PLATFORMS INC",7.78,META,US30303M1027,"3,169","2,304,624"
2,"MICROSOFT CORP",5.39,MSFT,US5949181045,"3,180","1,594,706"
3,"AMAZON.COM INC",5.16,AMZN,US0231351067,"6,877","1,528,482"
4,"NVIDIA CORP",4.75,NVDA,US67066G1040,"8,573","1,406,829"
5,"ANTHROPIC, PBC",3.38,1892140D,–,"17,829","999,966"
6,"APPLE INC",3.27,AAPL,US0378331005,"4,559","968,377"
7,"ALPHABET INC-CL A",3.17,GOOGL,US02079K3059,"5,285","938,722"
8,"ORACLE CORP",2.90,ORCL,US68389X1054,"3,659","859,865"
9,"NEBIUS GROUP NV",2.88,NBIS,NL0009805522,"18,362","852,548"
10,"BROADCOM INC",2.77,AVGO,US11135F1012,"2,977","819,866"
11,"PALANTIR TECHN-A",2.72,PLTR,US69608A1088,"5,649","804,983"
12,"SALESFORCE INC",2.68,CRM,US79466L3024,"3,004","792,966"
13,"TESLA INC",2.66,TSLA,US88160R1014,"2,539","786,760"
14,"SERVICENOW INC",2.64,NOW,US81762P1021,807,"781,249"
15,"SAP SE",2.32,SAP,DE0007164600,"2,239","688,074"
16,TSMC,2.29,2330,TW0002330008,"18,000","677,305"
17,"ROBLOX CORP -CLASS A",2.24,RBLX,US7710491033,"6,317","663,475"
18,"CLOUDFLARE INC - CLASS A",2.17,NET,US18915M1071,"3,531","642,360"
19,"SK HYNIX INC",2.17,000660,KR7000660001,"2,965","642,285"
20,"SNOWFLAKE INC",2.01,SNOW,US8334451098,"2,771","594,158"
21,"DATADOG INC - CLASS A",1.88,DDOG,US23804L1035,"4,059","558,072"
22,"ADOBE INC",1.88,ADBE,US00724F1012,"1,501","557,516"
23,"TEMPUS AI INC",1.88,TEM,US88023B1035,"9,341","556,724"
24,"ELASTIC NV",1.76,ESTC,NL0013056914,"6,148","520,736"
25,DUOLINGO,1.71,DUOL,US26603R1068,"1,328","505,224"
26,"SHOPIFY INC - CLASS A",1.70,SHOP,CA82509L1076,"4,390","504,816"
27,"SAMSARA INC-CL A",1.54,IOT,US79589L1061,"12,077","455,182"
28,"APPLOVIN CORP-CLASS A",1.45,APP,US03831W1080,"1,240","429,437"
29,"MARVELL TECHNOLOGY INC",1.40,MRVL,US5738741041,"5,652","414,292"
30,"MONGODB INC",1.37,MDB,US60937P1066,"1,937","405,356"
31,"VERTIV HOLDINGS CO-A",1.36,VRT,US92537N1081,"3,334","402,480"
32,"ASML HOLDING NV",1.35,ASML,NL0010273215,495,"398,946"
33,"ATLASSIAN CORP-CL A",1.34,TEAM,US0494681010,"1,983","396,699"
34,"WORKDAY INC-CLASS A",1.34,WDAY,US98138H1014,"1,725","395,543"
35,"MICRON TECHNOLOGY INC",1.29,MU,US5951121038,"3,112","383,118"
36,"PALO ALTO NETWORKS INC",1.29,PANW,US6974351057,"1,986","381,451"
37,"PURE STORAGE-A",1.24,PSTG,US74624M1027,"6,402","368,499"
38,"ZSCALER INC",1.24,ZS,US98980G1022,"1,242","367,856"
39,"ARISTA NETWORKS INC",1.20,"2512042D US",US0404132054,"3,337","354,690"
40,"GITLAB INC-CL A",1.18,GTLB,US37637K1088,"7,753","349,583"
41,"CONFLUENT INC-CLASS A",1.13,CFLT,US20717M1036,"13,708","335,846"
42,"SYNOPSYS INC",1.00,SNPS,US8716071076,522,"295,551"
43,"MEDIATEK INC",0.97,2454,TW0002454006,"6,000","287,342"
44,"QUALCOMM INC",0.95,QCOM,US7475251036,"1,773","282,067"
45,"ARM HOLDINGS PLC-ADR",0.93,ARM,US0420682058,"1,849","274,669"
46,Cash,0.27,,–,"78,775","78,775"
47,"TAIWAN DOLLAR",0.01,,–,"63,990","2,189"
48,EURO,0.00,,–,43,50
49,"CANADIAN DOLLAR",0.00,,–,3,2
