"AGIX Holdings","As of 2025-07-30","Holdings Are Subject To Change"
Rank,Company Name,% of Net Assets,Ticker,Identifier,Shares Held,Market Value($)
1,META PLATFORMS INC,6.98,META,US30303M1027,"4,549","3,162,510"
2,MICROSOFT CORP,5.21,MSFT,US5949181045,"4,599","2,360,391"
3,AMAZON.COM INC,5.01,AMZN,US0231351067,"9,862","2,270,134"
4,NVIDIA CORP,4.8,NVDA,US67066G1040,"12,139","2,176,159"
5,ALPHABET INC-CL A,3.52,GOOGL,US02079K3059,"8,127","1,597,199"
6,XAI HOLDINGS CORP,3.31,XAAI.PVT,–,"41,029","1,500,020"
7,APPLE INC,3.07,AAPL,US0378331005,"6,653","1,390,810"
8,NEBIUS GROUP NV,2.9,NBIS,NL0009805522,"25,613","1,313,691"
9,ORACLE CORP,2.87,ORCL,US68389X1054,"5,191","1,300,865"
10,BROADCOM INC,2.84,AVGO,US11135F1012,"4,255","1,287,648"
11,PALANTIR TECHN-A,2.81,PLTR,US69608A1088,"8,028","1,273,321"
12,"ANTHROPIC, PBC",2.64,ANTH.PVT,–,"17,829","1,194,543"
13,TESLA INC,2.54,TSLA,US88160R1014,"3,602","1,149,182"
14,SALESFORCE INC,2.51,CRM,US79466L3024,"4,288","1,135,505"
15,SERVICENOW INC,2.47,NOW,US81762P1021,"1,143","1,117,260"
16,ROBLOX CORP -CLASS A,2.43,RBLX,US7710491033,"8,831","1,103,345"
17,TSMC,2.32,2330.TW,TW0002330008,"27,000","1,049,788"
18,CLOUDFLARE INC - CLASS A,2.27,NET,US18915M1071,"5,116","1,027,549"
19,SAP SE,2.07,SAP,DE0007164600,"3,229","937,844"
20,DATADOG INC - CLASS A,1.94,DDOG,US23804L1035,"5,918","881,072"
21,SNOWFLAKE INC,1.94,SNOW,US8334451098,"3,982","877,155"
22,SK HYNIX INC,1.88,000660.KS,KR7000660001,"4,477","853,055"
23,ADOBE INC,1.74,ADBE,US00724F1012,"2,171","790,244"
24,ELASTIC NV,1.69,ESTC,NL0013056914,"8,709","766,305"
25,SHOPIFY INC - CLASS A,1.67,SHOP,CA82509L1076,"6,152","758,793"
26,MARVELL TECHNOLOGY INC,1.64,MRVL,US5738741041,"9,083","742,444"
27,VERTIV HOLDINGS CO-A,1.53,VRT,US92537N1081,"4,812","693,746"
28,MONGODB INC,1.5,MDB,US60937P1066,"2,790","681,764"
29,TEMPUS AI INC,1.5,TEM,US88023B1035,"11,762","679,961"
30,DUOLINGO,1.49,DUOL,US26603R1068,"1,976","674,488"
31,SAMSARA INC-CL A,1.47,IOT,US79589L1061,"17,345","668,303"
32,APPLOVIN CORP-CLASS A,1.44,APP,US03831W1080,"1,795","652,141"
33,ARISTA NETWORKS INC,1.37,ANET,US0404132054,"5,084","620,706"
34,WORKDAY INC-CLASS A,1.3,WDAY,US98138H1014,"2,470","587,070"
35,ZSCALER INC,1.25,ZS,US98980G1022,"1,976","568,554"
36,ATLASSIAN CORP-CL A,1.25,TEAM,US0494681010,"2,880","567,907"
37,ASML HOLDING NV,1.23,ASML,NL0010273215,776,"559,007"
38,PURE STORAGE-A,1.22,PSTG,US74624M1027,"9,341","553,267"
39,MICRON TECHNOLOGY INC,1.18,MU,US5951121038,"4,646","533,082"
40,PALO ALTO NETWORKS INC,1.16,PANW,US6974351057,"2,872","525,662"
41,GITLAB INC-CL A,1.14,GTLB,US37637K1088,"11,195","516,873"
42,CONFLUENT INC-CLASS A,1.11,CFLT,US20717M1036,"19,119","504,742"
43,SYNOPSYS INC,1.1,SNPS,US8716071076,771,"497,565"
44,ARM HOLDINGS PLC-ADR,0.99,ARM,US0420682058,"2,735","446,694"
45,QUALCOMM INC,0.88,QCOM,US7475251036,"2,521","400,990"
46,MEDIATEK INC,0.62,2454.TW,TW0002454006,"6,000","278,732"
47,Cash,0.19,,–,"87,879","87,879"
48,EURO,0.0,,–,43,49
49,CANADIAN DOLLAR,0.0,,–,3,2
