"AGIX Holdings","As of 2025-06-27","Holdings Are Subject To Change"
Rank,"Company Name","% of Net Assets",Ticker,Identifier,"Shares Held","Market Value($)"
1,"META PLATFORMS INC",7.81,META,US30303M1027,"2,997","2,198,689"
2,"MICROSOFT CORP",5.29,MSFT,US5949181045,"3,005","1,490,300"
3,"AMAZON.COM INC",5.16,AMZN,US0231351067,"6,505","1,452,567"
4,"NVIDIA CORP",4.54,NVDA,US67066G1040,"8,102","1,278,091"
5,"ANTHROPIC, PBC",3.55,1892140D,–,"17,829","999,966"
6,"NEBIUS GROUP NV",3.20,NBIS,NL0009805522,"17,384","901,187"
7,"ALPHABET INC-CL A",3.15,GOOGL,US02079K3059,"4,972","887,651"
8,"APPLE INC",3.07,AAPL,US0378331005,"4,304","865,448"
9,"SERVICENOW INC",2.77,NOW,US81762P1021,763,"780,106"
10,"SALESFORCE INC",2.76,CRM,US79466L3024,"2,841","776,786"
11,"TESLA INC",2.76,TSLA,US88160R1014,"2,399","776,388"
12,"BROADCOM INC",2.69,AVGO,US11135F1012,"2,814","757,951"
13,"ORACLE CORP",2.58,ORCL,US68389X1054,"3,458","727,010"
14,"PALANTIR TECHN-A",2.48,PLTR,US69608A1088,"5,339","698,021"
15,TSMC,2.39,2330,TW0002330008,"18,000","672,362"
16,"CLOUDFLARE INC - CLASS A",2.30,NET,US18915M1071,"3,335","647,157"
17,"SAP SE",2.27,SAP,DE0007164600,"2,115","639,415"
18,"ROBLOX CORP -CLASS A",2.24,RBLX,US7710491033,"5,967","630,056"
19,"SK HYNIX INC",2.15,000660,KR7000660001,"2,892","605,342"
20,"TEMPUS AI INC",2.10,TEM,US88023B1035,"8,872","590,165"
21,"SNOWFLAKE INC-CLASS A",2.07,SNOW,US8334451098,"2,619","583,016"
22,"ADOBE INC",1.94,ADBE,US00724F1012,"1,419","547,493"
23,DUOLINGO,1.83,DUOL,US26603R1068,"1,256","516,543"
24,"DATADOG INC - CLASS A",1.80,DDOG,US23804L1035,"3,833","506,263"
25,"ELASTIC NV",1.71,ESTC,NL0013056914,"5,812","480,594"
26,"SHOPIFY INC - CLASS A",1.68,SHOP,CA82509L1076,"4,149","473,056"
27,"SAMSARA INC-CL A",1.60,IOT,US79589L1061,"11,413","451,955"
28,"MARVELL TECHNOLOGY INC",1.45,MRVL,US5738741041,"5,308","409,565"
29,"VERTIV HOLDINGS CO-A",1.42,VRT,US92537N1081,"3,150","400,554"
30,"APPLOVIN CORP-CLASS A",1.39,APP,US03831W1080,"1,171","390,856"
31,"WORKDAY INC-CLASS A",1.37,WDAY,US98138H1014,"1,630","386,913"
32,"MONGODB INC",1.36,MDB,US60937P1066,"1,830","384,154"
33,"ATLASSIAN CORP-CL A",1.34,TEAM,US0494681010,"1,872","378,743"
34,"PALO ALTO NETWORKS INC",1.34,PANW,US6974351057,"1,876","376,269"
35,"ASML HOLDING NV",1.33,ASML,NL0010273215,467,"373,484"
36,"ZSCALER INC",1.31,ZS,US98980G1022,"1,169","368,609"
37,"MICRON TECHNOLOGY INC",1.30,MU,US5951121038,"2,936","366,295"
38,"PURE STORAGE-A",1.19,PSTG,US74624M1027,"6,042","334,727"
39,"GITLAB INC-CL A",1.17,GTLB,US37637K1088,"7,325","330,651"
40,"CONFLUENT INC-CLASS A",1.13,CFLT,US20717M1036,"12,961","317,156"
41,"ARISTA NETWORKS INC",1.11,"2512042D US",US0404132054,"3,141","312,184"
42,"ARM HOLDINGS PLC-ADR",1.02,ARM,US0420682058,"1,740","287,900"
43,"MEDIATEK INC",0.95,2454,TW0002454006,"6,000","266,662"
44,"QUALCOMM INC",0.94,QCOM,US7475251036,"1,676","265,713"
45,"SYNOPSYS INC",0.88,SNPS,US8716071076,492,"247,294"
46,Cash,0.11,,–,"30,748","30,748"
47,"KOREAN WON",0.00,,–,"796,770",587
48,EURO,0.00,,–,43,50
49,"CANADIAN DOLLAR",0.00,,–,3,2
