"AGIX Holdings","As of 2025-07-09","Holdings Are Subject To Change"
Rank,"Company Name","% of Net Assets",Ticker,Identifier,"Shares Held","Market Value($)"
1,"META PLATFORMS INC",7.77,META,US30303M1027,"3,169","2,322,180"
2,"MICROSOFT CORP",5.35,MSFT,US5949181045,"3,180","1,601,162"
3,"AMAZON.COM INC",5.12,AMZN,US0231351067,"6,877","1,530,408"
4,"NVIDIA CORP",4.67,NVDA,US67066G1040,"8,573","1,396,370"
5,"ANTHROPIC, PBC",3.34,1892140D,–,"17,829","999,966"
6,"APPLE INC",3.22,AAPL,US0378331005,"4,559","962,587"
7,"ALPHABET INC-CL A",3.12,GOOGL,US02079K3059,"5,285","933,437"
8,"ORACLE CORP",2.88,ORCL,US68389X1054,"3,659","860,999"
9,"NEBIUS GROUP NV",2.83,NBIS,NL0009805522,"18,362","845,570"
10,"BROADCOM INC",2.77,AVGO,US11135F1012,"2,977","827,308"
11,"SERVICENOW INC",2.74,NOW,US81762P1021,807,"818,064"
12,"SALESFORCE INC",2.72,CRM,US79466L3024,"3,004","813,844"
13,"PALANTIR TECHN-A",2.70,PLTR,US69608A1088,"5,649","808,541"
14,"TESLA INC",2.51,TSLA,US88160R1014,"2,539","751,239"
15,"SAP SE",2.33,SAP,DE0007164600,"2,239","696,433"
16,"CLOUDFLARE INC - CLASS A",2.28,NET,US18915M1071,"3,531","683,213"
17,TSMC,2.25,2330,TW0002330008,"18,000","674,111"
18,"ROBLOX CORP -CLASS A",2.25,RBLX,US7710491033,"6,317","673,898"
19,"SNOWFLAKE INC",2.06,SNOW,US8334451098,"2,771","614,885"
20,"SK HYNIX INC",2.03,000660,KR7000660001,"2,965","605,879"
21,"DATADOG INC - CLASS A",1.94,DDOG,US23804L1035,"4,059","579,422"
22,"ADOBE INC",1.87,ADBE,US00724F1012,"1,501","560,443"
23,"TEMPUS AI INC",1.82,TEM,US88023B1035,"9,341","545,608"
24,"ELASTIC NV",1.78,ESTC,NL0013056914,"6,148","532,171"
25,DUOLINGO,1.74,DUOL,US26603R1068,"1,328","518,916"
26,"SHOPIFY INC - CLASS A",1.68,SHOP,CA82509L1076,"4,390","501,582"
27,"SAMSARA INC-CL A",1.59,IOT,US79589L1061,"12,077","474,385"
28,"ATLASSIAN CORP-CL A",1.46,TEAM,US0494681010,"1,983","438,025"
29,"APPLOVIN CORP-CLASS A",1.46,APP,US03831W1080,"1,240","437,398"
30,"VERTIV HOLDINGS CO-A",1.43,VRT,US92537N1081,"3,334","427,986"
31,"MONGODB INC",1.41,MDB,US60937P1066,"1,937","420,561"
32,"WORKDAY INC-CLASS A",1.39,WDAY,US98138H1014,"1,725","414,293"
33,"PALO ALTO NETWORKS INC",1.37,PANW,US6974351057,"1,986","409,235"
34,"MARVELL TECHNOLOGY INC",1.37,MRVL,US5738741041,"5,652","408,414"
35,"ASML HOLDING NV",1.32,ASML,NL0010273215,495,"394,228"
36,"ZSCALER INC",1.31,ZS,US98980G1022,"1,242","393,093"
37,"MICRON TECHNOLOGY INC",1.27,MU,US5951121038,"3,112","380,411"
38,"PURE STORAGE-A",1.25,PSTG,US74624M1027,"6,402","372,660"
39,"GITLAB INC-CL A",1.22,GTLB,US37637K1088,"7,753","363,461"
40,"ARISTA NETWORKS INC",1.19,"2512042D US",US0404132054,"3,337","354,656"
41,"CONFLUENT INC-CLASS A",1.17,CFLT,US20717M1036,"13,708","350,376"
42,"SYNOPSYS INC",0.96,SNPS,US8716071076,522,"287,596"
43,"QUALCOMM INC",0.94,QCOM,US7475251036,"1,773","282,528"
44,"MEDIATEK INC",0.93,2454,TW0002454006,"6,000","279,333"
45,"ARM HOLDINGS PLC-ADR",0.92,ARM,US0420682058,"1,849","273,689"
46,Cash,0.27,,–,"81,464","81,464"
47,EURO,0.00,,–,43,50
48,"CANADIAN DOLLAR",0.00,,–,3,2
