"AGIX Holdings","As of 2025-07-28","Holdings Are Subject To Change"
Rank,Company Name,% of Net Assets,Ticker,Identifier,Shares Held,Market Value($)
1,META PLATFORMS INC,7.12,META,US30303M1027,"4,033","2,894,202"
2,MICROSOFT CORP,5.14,MSFT,US5949181045,"4,074","2,087,925"
3,AMAZON.COM INC,5.01,AMZN,US0231351067,"8,746","2,035,981"
4,NVIDIA CORP,4.67,NVDA,US67066G1040,"10,726","1,895,821"
5,XAI HOLDINGS CORP,3.69,XAAI.PVT,–,"41,029","1,500,020"
6,ALPHABET INC-CL A,3.41,GOOGL,US02079K3059,"7,188","1,384,265"
7,APPLE INC,3.1,AAPL,US0378331005,"5,888","1,260,326"
8,NEBIUS GROUP NV,2.94,NBIS,NL0009805522,"22,679","1,196,317"
9,"ANTHROPIC, PBC",2.94,ANTH.PVT,–,"17,829","1,194,543"
10,ORACLE CORP,2.8,ORCL,US68389X1054,"4,588","1,136,493"
11,PALANTIR TECHN-A,2.76,PLTR,US69608A1088,"7,098","1,120,632"
12,BROADCOM INC,2.73,AVGO,US11135F1012,"3,766","1,108,334"
13,TESLA INC,2.55,TSLA,US88160R1014,"3,182","1,036,027"
14,SALESFORCE INC,2.53,CRM,US79466L3024,"3,799","1,026,680"
15,SERVICENOW INC,2.45,NOW,US81762P1021,"1,011","996,593"
16,ROBLOX CORP -CLASS A,2.32,RBLX,US7710491033,"7,781","941,190"
17,TSMC,2.29,2330.TW,TW0002330008,"24,000","931,510"
18,CLOUDFLARE INC - CLASS A,2.22,NET,US18915M1071,"4,528","902,928"
19,SAP SE,2.0,SAP,DE0007164600,"2,857","811,427"
20,DATADOG INC - CLASS A,1.94,DDOG,US23804L1035,"5,240","790,035"
21,SNOWFLAKE INC,1.9,SNOW,US8334451098,"3,526","771,030"
22,SK HYNIX INC,1.85,000660.KS,KR7000660001,"3,973","753,148"
23,ADOBE INC,1.75,ADBE,US00724F1012,"1,925","711,230"
24,SHOPIFY INC - CLASS A,1.7,SHOP,CA82509L1076,"5,429","689,276"
25,ELASTIC NV,1.68,ESTC,NL0013056914,"7,701","684,311"
26,TEMPUS AI INC,1.58,TEM,US88023B1035,"10,355","642,010"
27,MARVELL TECHNOLOGY INC,1.5,MRVL,US5738741041,"8,051","611,151"
28,SAMSARA INC-CL A,1.5,IOT,US79589L1061,"15,353","608,900"
29,VERTIV HOLDINGS CO-A,1.49,VRT,US92537N1081,"4,260","607,263"
30,MONGODB INC,1.49,MDB,US60937P1066,"2,469","603,448"
31,DUOLINGO,1.47,DUOL,US26603R1068,"1,760","599,262"
32,APPLOVIN CORP-CLASS A,1.45,APP,US03831W1080,"1,588","589,084"
33,ARISTA NETWORKS INC,1.3,ANET,US0404132054,"4,496","528,505"
34,WORKDAY INC-CLASS A,1.28,WDAY,US98138H1014,"2,185","520,117"
35,PALO ALTO NETWORKS INC,1.28,PANW,US6974351057,"2,542","519,839"
36,ATLASSIAN CORP-CL A,1.27,TEAM,US0494681010,"2,547","514,086"
37,ZSCALER INC,1.25,ZS,US98980G1022,"1,757","507,843"
38,ASML HOLDING NV,1.25,ASML,NL0010273215,692,"505,980"
39,PURE STORAGE-A,1.21,PSTG,US74624M1027,"8,261","490,703"
40,GITLAB INC-CL A,1.18,GTLB,US37637K1088,"9,911","479,494"
41,MICRON TECHNOLOGY INC,1.13,MU,US5951121038,"4,118","458,128"
42,CONFLUENT INC-CLASS A,1.12,CFLT,US20717M1036,"16,878","455,706"
43,SYNOPSYS INC,0.99,SNPS,US8716071076,681,"403,581"
44,ARM HOLDINGS PLC-ADR,0.97,ARM,US0420682058,"2,408","395,803"
45,QUALCOMM INC,0.88,QCOM,US7475251036,"2,230","359,142"
46,MEDIATEK INC,0.7,2454.TW,TW0002454006,"6,000","284,741"
47,Cash,0.2,,–,"83,259","83,259"
48,EURO,0.0,,–,43,50
49,CANADIAN DOLLAR,0.0,,–,3,2
