"AGIX Holdings","As of 2025-07-25","Holdings Are Subject To Change"
Rank,Company Name,% of Net Assets,Ticker,Identifier,Shares Held,Market Value($)
1,META PLATFORMS INC,7.02,META,US30303M1027,"3,345","2,383,915"
2,MICROSOFT CORP,5.1,MSFT,US5949181045,"3,374","1,733,258"
3,AMAZON.COM INC,4.95,AMZN,US0231351067,"7,258","1,679,792"
4,NVIDIA CORP,4.52,NVDA,US67066G1040,"8,842","1,534,087"
5,XAI HOLDINGS CORP,4.42,XAAI.PVT,–,"41,029","1,500,020"
6,"ANTHROPIC, PBC",3.52,ANTH.PVT,–,"17,829","1,194,543"
7,ALPHABET INC-CL A,3.38,GOOGL,US02079K3059,"5,936","1,146,716"
8,APPLE INC,3.07,AAPL,US0378331005,"4,868","1,041,168"
9,NEBIUS GROUP NV,2.84,NBIS,NL0009805522,"18,767","964,061"
10,PALANTIR TECHN-A,2.74,PLTR,US69608A1088,"5,858","930,250"
11,ORACLE CORP,2.73,ORCL,US68389X1054,"3,784","927,534"
12,BROADCOM INC,2.66,AVGO,US11135F1012,"3,114","903,621"
13,SALESFORCE INC,2.49,CRM,US79466L3024,"3,147","846,889"
14,TESLA INC,2.44,TSLA,US88160R1014,"2,622","828,709"
15,SERVICENOW INC,2.38,NOW,US81762P1021,835,"808,940"
16,TSMC,2.29,2330.TW,TW0002330008,"20,000","777,655"
17,ROBLOX CORP -CLASS A,2.23,RBLX,US7710491033,"6,381","758,190"
18,CLOUDFLARE INC - CLASS A,2.19,NET,US18915M1071,"3,744","742,884"
19,SAP SE,2.0,SAP,DE0007164600,"2,361","678,544"
20,DATADOG INC - CLASS A,1.91,DDOG,US23804L1035,"4,336","649,706"
21,SNOWFLAKE INC,1.89,SNOW,US8334451098,"2,918","640,530"
22,SK HYNIX INC,1.88,000660.KS,KR7000660001,"3,301","636,995"
23,ADOBE INC,1.74,ADBE,US00724F1012,"1,597","592,072"
24,ELASTIC NV,1.68,ESTC,NL0013056914,"6,357","571,240"
25,SHOPIFY INC - CLASS A,1.64,SHOP,CA82509L1076,"4,465","555,930"
26,TEMPUS AI INC,1.61,TEM,US88023B1035,"8,479","546,811"
27,DUOLINGO,1.58,DUOL,US26603R1068,"1,472","535,940"
28,MARVELL TECHNOLOGY INC,1.46,MRVL,US5738741041,"6,675","495,352"
29,SAMSARA INC-CL A,1.46,IOT,US79589L1061,"12,697","495,056"
30,MONGODB INC,1.45,MDB,US60937P1066,"2,041","492,636"
31,VERTIV HOLDINGS CO-A,1.43,VRT,US92537N1081,"3,524","484,444"
32,APPLOVIN CORP-CLASS A,1.41,APP,US03831W1080,"1,312","477,752"
33,WORKDAY INC-CLASS A,1.28,WDAY,US98138H1014,"1,805","436,341"
34,PALO ALTO NETWORKS INC,1.26,PANW,US6974351057,"2,102","427,274"
35,ATLASSIAN CORP-CL A,1.26,TEAM,US0494681010,"2,103","426,909"
36,ARISTA NETWORKS INC,1.25,ANET,US0404132054,"3,712","424,207"
37,ZSCALER INC,1.23,ZS,US98980G1022,"1,465","419,261"
38,ASML HOLDING NV,1.21,ASML,NL0010273215,580,"410,466"
39,PURE STORAGE-A,1.16,PSTG,US74624M1027,"6,821","392,821"
40,GITLAB INC-CL A,1.16,GTLB,US37637K1088,"8,199","392,650"
41,CONFLUENT INC-CLASS A,1.12,CFLT,US20717M1036,"13,890","379,892"
42,MICRON TECHNOLOGY INC,1.12,MU,US5951121038,"3,414","379,842"
43,SYNOPSYS INC,0.99,SNPS,US8716071076,561,"337,470"
44,ARM HOLDINGS PLC-ADR,0.95,ARM,US0420682058,"1,972","321,771"
45,QUALCOMM INC,0.86,QCOM,US7475251036,"1,842","291,773"
46,MEDIATEK INC,0.86,2454.TW,TW0002454006,"6,000","291,366"
47,Cash,0.24,,–,"81,163","81,163"
48,EURO,0.0,,–,43,50
49,CANADIAN DOLLAR,0.0,,–,3,2
