"AGIX Holdings","As of 2025-07-23","Holdings Are Subject To Change"
Rank,Company Name,% of Net Assets,Ticker,Identifier,Shares Held,Market Value($)
1,META PLATFORMS INC,7.09,META,US30303M1027,"3,345","2,386,925"
2,MICROSOFT CORP,5.07,MSFT,US5949181045,"3,374","1,706,805"
3,AMAZON.COM INC,4.92,AMZN,US0231351067,"7,258","1,656,929"
4,NVIDIA CORP,4.49,NVDA,US67066G1040,"8,842","1,510,037"
5,XAI HOLDINGS CORP,4.46,XAAI.PVT,–,"41,029","1,500,020"
6,"ANTHROPIC, PBC",3.55,ANTH.PVT,–,"17,829","1,194,543"
7,ALPHABET INC-CL A,3.35,GOOGL,US02079K3059,"5,936","1,129,205"
8,APPLE INC,3.1,AAPL,US0378331005,"4,868","1,042,482"
9,NEBIUS GROUP NV,2.89,NBIS,NL0009805522,"18,767","973,632"
10,ORACLE CORP,2.72,ORCL,US68389X1054,"3,784","915,350"
11,PALANTIR TECHN-A,2.69,PLTR,US69608A1088,"5,858","905,823"
12,BROADCOM INC,2.62,AVGO,US11135F1012,"3,114","883,411"
13,TESLA INC,2.59,TSLA,US88160R1014,"2,622","871,972"
14,SALESFORCE INC,2.5,CRM,US79466L3024,"3,147","840,941"
15,SERVICENOW INC,2.37,NOW,US81762P1021,835,"798,619"
16,TSMC,2.32,2330.TW,TW0002330008,"20,000","780,504"
17,ROBLOX CORP -CLASS A,2.25,RBLX,US7710491033,"6,381","756,978"
18,CLOUDFLARE INC - CLASS A,2.1,NET,US18915M1071,"3,744","708,178"
19,SAP SE,2.05,SAP,DE0007164600,"2,361","689,417"
20,SK HYNIX INC,1.91,000660.KS,KR7000660001,"3,301","643,363"
21,DATADOG INC - CLASS A,1.85,DDOG,US23804L1035,"4,336","624,384"
22,SNOWFLAKE INC,1.84,SNOW,US8334451098,"2,918","620,250"
23,ADOBE INC,1.77,ADBE,US00724F1012,"1,597","594,819"
24,ELASTIC NV,1.64,ESTC,NL0013056914,"6,357","552,995"
25,TEMPUS AI INC,1.63,TEM,US88023B1035,"8,479","549,948"
26,SHOPIFY INC - CLASS A,1.62,SHOP,CA82509L1076,"4,465","544,529"
27,DUOLINGO,1.57,DUOL,US26603R1068,"1,472","529,611"
28,SAMSARA INC-CL A,1.46,IOT,US79589L1061,"12,697","490,231"
29,MARVELL TECHNOLOGY INC,1.45,MRVL,US5738741041,"6,675","489,077"
30,APPLOVIN CORP-CLASS A,1.41,APP,US03831W1080,"1,312","475,101"
31,MONGODB INC,1.38,MDB,US60937P1066,"2,041","465,858"
32,VERTIV HOLDINGS CO-A,1.36,VRT,US92537N1081,"3,524","458,790"
33,WORKDAY INC-CLASS A,1.29,WDAY,US98138H1014,"1,805","435,059"
34,ATLASSIAN CORP-CL A,1.27,TEAM,US0494681010,"2,103","426,005"
35,ARISTA NETWORKS INC,1.25,ANET,US0404132054,"3,712","419,604"
36,PALO ALTO NETWORKS INC,1.24,PANW,US6974351057,"2,102","418,760"
37,ZSCALER INC,1.23,ZS,US98980G1022,"1,465","415,137"
38,ASML HOLDING NV,1.23,ASML,NL0010273215,580,"412,837"
39,PURE STORAGE-A,1.16,PSTG,US74624M1027,"6,821","390,980"
40,GITLAB INC-CL A,1.15,GTLB,US37637K1088,"8,199","386,173"
41,MICRON TECHNOLOGY INC,1.11,MU,US5951121038,"3,414","374,960"
42,CONFLUENT INC-CLASS A,1.09,CFLT,US20717M1036,"13,890","366,002"
43,SYNOPSYS INC,1.02,SNPS,US8716071076,561,"344,690"
44,ARM HOLDINGS PLC-ADR,0.93,ARM,US0420682058,"1,972","314,100"
45,QUALCOMM INC,0.87,QCOM,US7475251036,"1,842","294,499"
46,MEDIATEK INC,0.87,2454.TW,TW0002454006,"6,000","292,434"
47,Cash,0.24,,–,"82,077","82,077"
48,EURO,0.0,,–,43,50
49,CANADIAN DOLLAR,0.0,,–,3,2
